conv,run,seed,timestamp,overall_correct,overall_total,overall_acc_pct,cat1_correct,cat1_total,cat1_acc_pct,cat2_correct,cat2_total,cat2_acc_pct,cat3_correct,cat3_total,cat3_acc_pct,cat4_correct,cat4_total,cat4_acc_pct,judge_model
0,1,2001,2025-11-20 08:37:36,133,152,87.50,29,32,90.62,27,37,72.97,12,13,92.31,65,70,92.86,gpt-4o-mini (GENEROUS - Mem0 official)
0,2,2003,2025-11-20 11:44:00,132,152,86.84,29,32,90.62,27,37,72.97,13,13,100.00,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,3,2004,2025-11-20 11:54:56,131,152,86.18,29,32,90.62,27,37,72.97,12,13,92.31,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,4,2005,2025-11-20 12:05:57,131,152,86.18,29,32,90.62,27,37,72.97,12,13,92.31,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,5,2006,2025-11-20 12:24:29,133,152,87.50,29,32,90.62,27,37,72.97,12,13,92.31,65,70,92.86,gpt-4o-mini (GENEROUS - Mem0 official)
0,6,2007,2025-11-20 12:35:15,131,152,86.18,28,32,87.50,27,37,72.97,12,13,92.31,64,70,91.43,gpt-4o-mini (GENEROUS - Mem0 official)
0,7,2008,2025-11-20 12:45:37,133,152,87.50,29,32,90.62,27,37,72.97,12,13,92.31,65,70,92.86,gpt-4o-mini (GENEROUS - Mem0 official)
0,8,2009,2025-11-20 12:55:51,132,152,86.84,29,32,90.62,27,37,72.97,12,13,92.31,64,70,91.43,gpt-4o-mini (GENEROUS - Mem0 official)
0,9,2010,2025-11-20 15:16:42,130,152,85.53,29,32,90.62,26,37,70.27,12,13,92.31,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
0,10,2002,2025-11-20 15:48:06,130,152,85.53,29,32,90.62,27,37,72.97,11,13,84.62,63,70,90.00,gpt-4o-mini (GENEROUS - Mem0 official)
1,1,2001,2025-11-20 13:12:56,65,81,80.25,9,11,81.82,15,26,57.69,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,2,2003,2025-11-20 14:19:18,67,81,82.72,10,11,90.91,15,26,57.69,0,0,0.00,42,44,95.45,gpt-4o-mini (GENEROUS - Mem0 official)
1,3,2004,2025-11-20 14:44:22,64,81,79.01,10,11,90.91,14,26,53.85,0,0,0.00,40,44,90.91,gpt-4o-mini (GENEROUS - Mem0 official)
1,4,2005,2025-11-20 14:49:21,64,81,79.01,9,11,81.82,15,26,57.69,0,0,0.00,40,44,90.91,gpt-4o-mini (GENEROUS - Mem0 official)
1,5,2002,2025-11-20 15:22:53,67,81,82.72,10,11,90.91,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,6,2006,2025-11-20 15:28:40,67,81,82.72,10,11,90.91,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,7,2007,2025-11-20 15:34:08,67,81,82.72,10,11,90.91,15,26,57.69,0,0,0.00,42,44,95.45,gpt-4o-mini (GENEROUS - Mem0 official)
1,8,2008,2025-11-20 15:54:21,66,81,81.48,10,11,90.91,15,26,57.69,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,9,2009,2025-11-20 15:59:48,66,81,81.48,9,11,81.82,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
1,10,2010,2025-11-20 16:05:12,67,81,82.72,10,11,90.91,16,26,61.54,0,0,0.00,41,44,93.18,gpt-4o-mini (GENEROUS - Mem0 official)
2,1,2001,2025-11-20 16:14:46,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,2,2002,2025-11-20 16:25:23,129,152,84.87,28,31,90.32,20,27,74.07,5,8,62.50,76,86,88.37,gpt-4o-mini (GENEROUS - Mem0 official)
2,3,2003,2025-11-20 16:35:25,127,152,83.55,28,31,90.32,20,27,74.07,5,8,62.50,74,86,86.05,gpt-4o-mini (GENEROUS - Mem0 official)
2,4,2004,2025-11-20 16:45:14,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,5,2005,2025-11-20 16:55:42,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,6,2006,2025-11-20 17:06:00,127,152,83.55,28,31,90.32,19,27,70.37,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,7,2007,2025-11-20 17:16:32,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,8,2008,2025-11-20 17:26:33,130,152,85.53,29,31,93.55,20,27,74.07,5,8,62.50,76,86,88.37,gpt-4o-mini (GENEROUS - Mem0 official)
2,9,2009,2025-11-20 17:37:12,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
2,10,2010,2025-11-20 17:47:14,128,152,84.21,28,31,90.32,20,27,74.07,5,8,62.50,75,86,87.21,gpt-4o-mini (GENEROUS - Mem0 official)
3,1,2001,2025-11-20 18:00:45,153,199,76.88,25,37,67.57,28,40,70.00,5,11,45.45,95,111,85.59,gpt-4o-mini (GENEROUS - Mem0 official)
3,2,2002,2025-11-20 18:14:19,153,199,76.88,26,37,70.27,28,40,70.00,6,11,54.55,93,111,83.78,gpt-4o-mini (GENEROUS - Mem0 official)
3,3,2003,2025-11-20 18:27:12,153,199,76.88,25,37,67.57,28,40,70.00,5,11,45.45,95,111,85.59,gpt-4o-mini (GENEROUS - Mem0 official)
3,4,2004,2025-11-20 18:40:35,153,199,76.88,27,37,72.97,28,40,70.00,5,11,45.45,93,111,83.78,gpt-4o-mini (GENEROUS - Mem0 official)
3,5,2005,2025-11-20 18:54:03,153,199,76.88,25,37,67.57,28,40,70.00,6,11,54.55,94,111,84.68,gpt-4o-mini (GENEROUS - Mem0 official)
3,6,2006,2025-11-20 19:07:53,150,199,75.38,25,37,67.57,28,40,70.00,4,11,36.36,93,111,83.78,gpt-4o-mini (GENEROUS - Mem0 official)
3,7,2007,2025-11-20 19:20:52,152,199,76.38,25,37,67.57,28,40,70.00,5,11,45.45,94,111,84.68,gpt-4o-mini (GENEROUS - Mem0 official)
3,8,2008,2025-11-20 19:34:45,153,199,76.88,25,37,67.57,28,40,70.00,6,11,54.55,94,111,84.68,gpt-4o-mini (GENEROUS - Mem0 official)
3,9,2009,2025-11-20 19:48:39,152,199,76.38,25,37,67.57,28,40,70.00,5,11,45.45,94,111,84.68,gpt-4o-mini (GENEROUS - Mem0 official)
3,10,2010,2025-11-20 20:03:05,152,199,76.38,26,37,70.27,28,40,70.00,5,11,45.45,93,111,83.78,gpt-4o-mini (GENEROUS - Mem0 official)
4,1,2001,2025-11-20 20:15:33,134,178,75.28,25,31,80.65,10,26,38.46,5,14,35.71,94,107,87.85,gpt-4o-mini (GENEROUS - Mem0 official)
4,2,2002,2025-11-20 20:27:50,135,178,75.84,25,31,80.65,10,26,38.46,5,14,35.71,95,107,88.79,gpt-4o-mini (GENEROUS - Mem0 official)
4,3,2003,2025-11-20 20:40:02,135,178,75.84,25,31,80.65,10,26,38.46,6,14,42.86,94,107,87.85,gpt-4o-mini (GENEROUS - Mem0 official)
4,4,2004,2025-11-20 21:21:44,136,178,76.40,25,31,80.65,10,26,38.46,6,14,42.86,95,107,88.79,gpt-4o-mini (GENEROUS - Mem0 official)
4,5,2005,2025-11-20 21:34:32,134,178,75.28,25,31,80.65,10,26,38.46,5,14,35.71,94,107,87.85,gpt-4o-mini (GENEROUS - Mem0 official)
4,6,2006,2025-11-20 21:46:46,136,178,76.40,25,31,80.65,10,26,38.46,6,14,42.86,95,107,88.79,gpt-4o-mini (GENEROUS - Mem0 official)
4,7,2007,2025-11-20 21:59:23,135,178,75.84,25,31,80.65,10,26,38.46,5,14,35.71,95,107,88.79,gpt-4o-mini (GENEROUS - Mem0 official)
4,8,2008,2025-11-20 22:11:39,134,178,75.28,25,31,80.65,10,26,38.46,5,14,35.71,94,107,87.85,gpt-4o-mini (GENEROUS - Mem0 official)
4,9,2009,2025-11-20 22:23:40,137,178,76.97,25,31,80.65,10,26,38.46,6,14,42.86,96,107,89.72,gpt-4o-mini (GENEROUS - Mem0 official)
4,10,2010,2025-11-20 22:35:57,136,178,76.40,25,31,80.65,10,26,38.46,6,14,42.86,95,107,88.79,gpt-4o-mini (GENEROUS - Mem0 official)
5,1,2001,2025-11-20 22:44:52,96,123,78.05,26,30,86.67,11,24,45.83,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
5,2,2003,2025-11-21 00:00:58,95,123,77.24,25,30,83.33,11,24,45.83,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
5,3,2004,2025-11-21 09:18:53,96,123,78.05,25,30,83.33,12,24,50.00,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
5,4,2005,2025-11-21 09:27:12,96,123,78.05,26,30,86.67,11,24,45.83,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
5,5,2006,2025-11-21 09:35:09,97,123,78.86,26,30,86.67,11,24,45.83,3,7,42.86,57,62,91.94,gpt-4o-mini (GENEROUS - Mem0 official)
5,6,2007,2025-11-21 09:43:32,96,123,78.05,26,30,86.67,11,24,45.83,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
5,7,2008,2025-11-21 09:51:55,96,123,78.05,26,30,86.67,11,24,45.83,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
5,8,2009,2025-11-21 10:00:29,95,123,77.24,25,30,83.33,11,24,45.83,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
5,9,2010,2025-11-21 10:09:44,96,123,78.05,26,30,86.67,11,24,45.83,3,7,42.86,56,62,90.32,gpt-4o-mini (GENEROUS - Mem0 official)
6,1,2001,2025-11-21 10:19:20,114,150,76.00,14,20,70.00,16,34,47.06,12,13,92.31,72,83,86.75,gpt-4o-mini (GENEROUS - Mem0 official)
6,2,2002,2025-11-21 10:28:48,114,150,76.00,15,20,75.00,17,34,50.00,10,13,76.92,72,83,86.75,gpt-4o-mini (GENEROUS - Mem0 official)
6,3,2003,2025-11-21 10:38:44,115,150,76.67,14,20,70.00,17,34,50.00,11,13,84.62,73,83,87.95,gpt-4o-mini (GENEROUS - Mem0 official)
6,4,2004,2025-11-21 10:48:08,114,150,76.00,14,20,70.00,16,34,47.06,12,13,92.31,72,83,86.75,gpt-4o-mini (GENEROUS - Mem0 official)
6,5,2005,2025-11-21 10:57:46,117,150,78.00,15,20,75.00,18,34,52.94,12,13,92.31,72,83,86.75,gpt-4o-mini (GENEROUS - Mem0 official)
6,6,2006,2025-11-21 11:07:25,117,150,78.00,15,20,75.00,17,34,50.00,12,13,92.31,73,83,87.95,gpt-4o-mini (GENEROUS - Mem0 official)
6,7,2007,2025-11-21 11:16:49,115,150,76.67,14,20,70.00,16,34,47.06,12,13,92.31,73,83,87.95,gpt-4o-mini (GENEROUS - Mem0 official)
6,8,2009,2025-11-21 13:24:15,116,150,77.33,14,20,70.00,17,34,50.00,12,13,92.31,73,83,87.95,gpt-4o-mini (GENEROUS - Mem0 official)
6,9,2010,2025-11-21 13:33:43,115,150,76.67,14,20,70.00,17,34,50.00,11,13,84.62,73,83,87.95,gpt-4o-mini (GENEROUS - Mem0 official)
7,1,2001,2025-11-21 16:28:36,165,191,86.39,19,21,90.48,35,42,83.33,6,10,60.00,105,118,88.98,gpt-4o-mini (GENEROUS - Mem0 official)
7,2,2002,2025-11-21 16:41:42,164,191,85.86,19,21,90.48,35,42,83.33,6,10,60.00,104,118,88.14,gpt-4o-mini (GENEROUS - Mem0 official)
7,3,2003,2025-11-21 16:54:41,164,191,85.86,19,21,90.48,35,42,83.33,6,10,60.00,104,118,88.14,gpt-4o-mini (GENEROUS - Mem0 official)
7,4,2004,2025-11-21 17:08:12,163,191,85.34,19,21,90.48,35,42,83.33,6,10,60.00,103,118,87.29,gpt-4o-mini (GENEROUS - Mem0 official)
7,5,2005,2025-11-21 17:21:16,161,191,84.29,18,21,85.71,35,42,83.33,6,10,60.00,102,118,86.44,gpt-4o-mini (GENEROUS - Mem0 official)
7,6,2006,2025-11-21 17:34:10,163,191,85.34,18,21,85.71,35,42,83.33,6,10,60.00,104,118,88.14,gpt-4o-mini (GENEROUS - Mem0 official)
7,7,2007,2025-11-21 17:47:28,165,191,86.39,19,21,90.48,35,42,83.33,6,10,60.00,105,118,88.98,gpt-4o-mini (GENEROUS - Mem0 official)
7,8,2008,2025-11-21 18:00:16,164,191,85.86,18,21,85.71,35,42,83.33,6,10,60.00,105,118,88.98,gpt-4o-mini (GENEROUS - Mem0 official)
7,9,2009,2025-11-21 18:13:54,162,191,84.82,18,21,85.71,35,42,83.33,6,10,60.00,103,118,87.29,gpt-4o-mini (GENEROUS - Mem0 official)
7,10,2010,2025-11-21 18:26:23,164,191,85.86,19,21,90.48,35,42,83.33,6,10,60.00,104,118,88.14,gpt-4o-mini (GENEROUS - Mem0 official)
8,1,2001,2025-11-21 18:37:05,121,156,77.56,32,37,86.49,17,33,51.52,12,13,92.31,60,73,82.19,gpt-4o-mini (GENEROUS - Mem0 official)
8,2,2002,2025-11-21 18:47:28,119,156,76.28,31,37,83.78,17,33,51.52,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
8,3,2003,2025-11-21 18:57:58,121,156,77.56,32,37,86.49,17,33,51.52,12,13,92.31,60,73,82.19,gpt-4o-mini (GENEROUS - Mem0 official)
8,4,2004,2025-11-21 19:09:53,120,156,76.92,32,37,86.49,17,33,51.52,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
8,5,2005,2025-11-21 19:20:07,120,156,76.92,32,37,86.49,17,33,51.52,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
8,6,2006,2025-11-21 19:29:56,118,156,75.64,31,37,83.78,16,33,48.48,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
8,7,2007,2025-11-21 19:40:00,120,156,76.92,32,37,86.49,17,33,51.52,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
8,8,2008,2025-11-21 19:50:44,119,156,76.28,32,37,86.49,16,33,48.48,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
8,9,2009,2025-11-21 20:02:06,120,156,76.92,32,37,86.49,17,33,51.52,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
8,10,2010,2025-11-21 20:13:34,119,156,76.28,32,37,86.49,16,33,48.48,12,13,92.31,59,73,80.82,gpt-4o-mini (GENEROUS - Mem0 official)
9,1,2001,2025-11-21 20:24:12,120,158,75.95,25,32,78.12,18,32,56.25,3,7,42.86,74,87,85.06,gpt-4o-mini (GENEROUS - Mem0 official)
9,2,2002,2025-11-21 20:35:29,121,158,76.58,25,32,78.12,18,32,56.25,3,7,42.86,75,87,86.21,gpt-4o-mini (GENEROUS - Mem0 official)
9,3,2003,2025-11-21 20:46:35,122,158,77.22,25,32,78.12,18,32,56.25,4,7,57.14,75,87,86.21,gpt-4o-mini (GENEROUS - Mem0 official)
9,4,2004,2025-11-21 20:57:25,122,158,77.22,25,32,78.12,18,32,56.25,3,7,42.86,76,87,87.36,gpt-4o-mini (GENEROUS - Mem0 official)
9,5,2005,2025-11-21 21:08:29,121,158,76.58,25,32,78.12,18,32,56.25,3,7,42.86,75,87,86.21,gpt-4o-mini (GENEROUS - Mem0 official)
9,6,2006,2025-11-21 21:18:57,122,158,77.22,25,32,78.12,18,32,56.25,3,7,42.86,76,87,87.36,gpt-4o-mini (GENEROUS - Mem0 official)
9,7,2007,2025-11-21 21:28:55,121,158,76.58,25,32,78.12,18,32,56.25,3,7,42.86,75,87,86.21,gpt-4o-mini (GENEROUS - Mem0 official)
9,8,2008,2025-11-21 21:39:35,120,158,75.95,25,32,78.12,18,32,56.25,3,7,42.86,74,87,85.06,gpt-4o-mini (GENEROUS - Mem0 official)
9,9,2009,2025-11-21 21:49:55,122,158,77.22,25,32,78.12,18,32,56.25,3,7,42.86,76,87,87.36,gpt-4o-mini (GENEROUS - Mem0 official)
9,10,2010,2025-11-21 22:00:37,121,158,76.58,25,32,78.12,18,32,56.25,3,7,42.86,75,87,86.21,gpt-4o-mini (GENEROUS - Mem0 official)
